Product_Index,Batch_ID,Image,Folder_Label,Decision,Top_Class,Defect,YOLO_Confidence,P_Defect,Margin_Top1_Top2,Entropy,Type_Confidence,Novel_Flag,decision_reason,Temperature,Likely_Zone,Zone_Confidence,Zone_Status,Reason,Evidence,Drift_Flags,Run_Bottleneck_Zone,Run_Throughput_Loss_Pct,Run_WIP_Stored,Run_Profit,Run_Margin_Pct,Unit_Defect_Cost,WhatIf_A,WhatIf_B,WhatIf_A+Bcombined,Predicted_Margin_Pct,Recommendations,Localization_Supported,Localization_Box,Localization_Area,Localization_Image,Second_Zone,Probability_Gap,Drilling_Stress,Drilling_Contribution,Milling_Stress,Milling_Contribution,Assembly_Stress,Assembly_Contribution,Storage_Stress,Storage_Contribution
1578,BATCH_1578,dataset_small_final\test\hole\hole_01997.png,hole,REJECT,hole,hole,0.9982048143734374,0.9989495882900576,0.9971544026634951,0.009338687698365175,0.9992544429415149,False,Defect probability at or above the auto-reject threshold.,1.0,Milling,Medium,ATTRIBUTED,Defect-specific prior combined with production-zone stress.,"Milling: utilization deviation=+0.71 SD, waiting-time deviation=+3.94 SD, combined stress=2.32",,Assembly,0.512061902594447,480.0,747968.0500000003,36.173574317019316,137.5,59670.97499999963,0.0,59670.97499999963,36.78169373110982,"P1: [Milling] Check cutter wear, fixture clamping and vibration; add a surface-finish check after milling and review cutting parameters. | P2: Production flow is constrained at Assembly (1191 runs at >=90% utilization). Balance the line or add assembly capacity and limit upstream release to cap work-in-process. | P3: Simulated best lever for this run: A: defects -50% (profit +59,671, margin +1.8 pts).",,,,,Drilling,0.1839627235094196,0.431893729775212,0.3478592000156226,2.3227417014130327,0.5318219235250422,0.8208609846689532,0.07896169632485714,0.1741441557394322,0.041357180134478005
1736,BATCH_1736,dataset_small_final\test\rust\rust_01176.png,rust,REJECT,rust,rust,0.9999983658583175,0.9999997611492036,0.9999976510514478,1.5848002977123703e-05,0.9999986047087807,False,Defect probability at or above the auto-reject threshold.,1.0,Storage,High,ATTRIBUTED,Defect-specific prior combined with production-zone stress.,"Storage: storage dwell/WIP deviation=+0.29 SD, combined stress=0.29; note: the strongest raw process deviation is in Milling (1.11), but this defect type points mainly to Storage",,Assembly,8.871653208669784,890.0,661244.7500000002,31.791797530917627,87.5,35380.12499999977,137286.0814985216,175003.57742483472,31.389721428939648,"P1: [Storage] Reduce dwell time between stages (FIFO, smaller buffers), and protect parts with humidity control or anti-corrosion packaging. | P2: Production flow is constrained at Assembly (1191 runs at >=90% utilization). Balance the line or add assembly capacity and limit upstream release to cap work-in-process. | P3: Simulated best lever for this run: A + B combined (profit +175,004, margin +5.3 pts).",,,,,Milling,0.427774818151642,0.5451331864950805,0.05272917444667423,1.11307639033176,0.18609536950479263,0.8793241979896849,0.14730526839209843,0.2916975732487119,0.6138701876564346
1894,BATCH_1894,dataset_small_final\test\scratch\scratch_00686.png,scratch,REJECT,scratch,scratch,0.9999995892127278,0.999999916784053,0.9999994205294366,4.3447852029943555e-06,0.9999996724286476,False,Defect probability at or above the auto-reject threshold.,1.0,Milling,High,ATTRIBUTED,Defect-specific prior combined with production-zone stress.,"Milling: utilization deviation=-1.34 SD, waiting-time deviation=-0.81 SD, combined stress=1.07; note: the strongest raw process deviation is in Assembly (1.39), but this defect type points mainly to Milling",,Assembly,2.4930747922437675,76.0,255133.2,36.904797722643956,62.50000000000001,7814.399999999965,0.0,7814.399999999965,36.066931105949564,"P1: [Milling] Check cutter wear, fixture clamping and vibration; add a surface-finish check after milling and review cutting parameters. | P2: Production flow is constrained at Assembly (1191 runs at >=90% utilization). Balance the line or add assembly capacity and limit upstream release to cap work-in-process. | P3: Simulated best lever for this run: A: defects -50% (profit +7,814, margin +0.8 pts).",,,,,Assembly,0.31949933397321034,1.1643832922086106,0.10773611782907451,1.0714815408201979,0.5890685742045119,1.3883765062495041,0.2695692402313015,0.0,0.0336260677351122
2051,BATCH_2051,dataset_small_final\test\normal\normal_01712.png,normal,PASS,normal,normal,0.9983595390403273,0.0016404609596727404,0.9974262145526136,0.008636482412740532,0.5689403836223778,False,Confidently normal.,1.0,N/A,N/A,N/A,Confidently normal.,,,Assembly,27.81203007518797,7607.0,299555.88749999995,13.006977896984957,0.0,50945.30625000014,779819.2625453342,847976.069900228,12.71982389719831,"P2: Production flow is constrained at Assembly (1191 runs at >=90% utilization). Balance the line or add assembly capacity and limit upstream release to cap work-in-process. | P3: Simulated best lever for this run: A + B combined (profit +847,976, margin +23.5 pts).",,,,,,,,,,,,,,
2209,BATCH_2209,dataset_small_final\test\hole\hole_01592.png,hole,REJECT,hole,hole,0.9999980040966207,0.9999996550672173,0.9999970381901393,1.9045774446390512e-05,0.9999983490288339,False,Defect probability at or above the auto-reject threshold.,1.0,Drilling,High,ATTRIBUTED,Defect-specific prior combined with production-zone stress.,"Drilling: utilization deviation=-1.69 SD, waiting-time deviation=-1.00 SD, combined stress=1.34; note: the strongest raw process deviation is in Assembly (1.67), but this defect type points mainly to Drilling",,Assembly,5.033112582781457,80.0,112385.9,33.13839966267717,137.5,9787.050000000017,8618.921381754568,18654.304095957923,34.27733386814772,"P1: [Drilling] Check drill-bit wear / tool life, feed and speed, and coolant flow; add an in-process hole-diameter check and consider parallel drilling capacity. | P2: Production flow is constrained at Assembly (1191 runs at >=90% utilization). Balance the line or add assembly capacity and limit upstream release to cap work-in-process. | P3: Simulated best lever for this run: A + B combined (profit +18,654, margin +3.5 pts).",,,,,Assembly,0.5358856338557876,1.3424920533417366,0.6810218231355062,1.246477814480742,0.14277115642751814,1.6683724169128966,0.14513618927971866,0.12696935305281332,0.03107083115725698
2367,BATCH_2367,dataset_small_final\test\scratch\scratch_02348.png,scratch,REJECT,scratch,scratch,0.9970682943870952,0.9994228663568352,0.9955059936305896,0.014559293706883202,0.9976440683428398,False,Defect probability at or above the auto-reject threshold.,1.0,Milling,High,ATTRIBUTED,Defect-specific prior combined with production-zone stress.,"Milling: utilization deviation=+1.12 SD, waiting-time deviation=+0.92 SD, combined stress=1.02; note: the strongest raw process deviation is in Drilling (1.04), but this defect type points mainly to Milling",,Assembly,14.765401146131804,2978.0,650230.55,27.824319203804848,62.50000000000001,26415.22499999986,311924.66828761785,341867.8348862617,26.277800412240754,"P1: [Milling] Check cutter wear, fixture clamping and vibration; add a surface-finish check after milling and review cutting parameters. | P2: Production flow is constrained at Assembly (1191 runs at >=90% utilization). Balance the line or add assembly capacity and limit upstream release to cap work-in-process. | P3: Simulated best lever for this run: A + B combined (profit +341,868, margin +9.3 pts).",,,,,Assembly,0.4326748111077138,1.043873417912398,0.10544692860791904,1.0198519181761916,0.6176646974558284,0.9128196125724259,0.18498988634811467,0.9063502100156329,0.09189848758813789
2525,BATCH_2525,dataset_small_final\test\normal\normal_01409.png,normal,PASS,normal,normal,0.9974262906640079,0.0025737093359921026,0.9959688221164796,0.01287687873108089,0.5662910442707136,False,Confidently normal.,1.0,N/A,N/A,N/A,Confidently normal.,,,Assembly,0.09900990099009901,354.0,630116.9125000001,37.19177812846004,0.0,37478.04374999995,0.0,37478.04374999995,36.92275388245383,"P2: Production flow is constrained at Assembly (1191 runs at >=90% utilization). Balance the line or add assembly capacity and limit upstream release to cap work-in-process. | P3: Simulated best lever for this run: A: defects -50% (profit +37,478, margin +1.4 pts).",,,,,,,,,,,,,,
2683,BATCH_2683,dataset_small_final\test\scratch\scratch_02744.png,scratch,REJECT,scratch,scratch,0.9998101940188766,0.9999812930030055,0.999680819717269,0.001241833772726738,0.9998288978150631,False,Defect probability at or above the auto-reject threshold.,1.0,Milling,High,ATTRIBUTED,Defect-specific prior combined with production-zone stress.,"Milling: utilization deviation=+1.14 SD, waiting-time deviation=+1.19 SD, combined stress=1.16; note: the strongest raw process deviation is in Drilling (1.44), but this defect type points mainly to Milling",,Assembly,30.449045050298878,8107.0,270543.94999999995,11.550277919434848,62.50000000000001,26476.27500000014,910504.7673647914,947276.2353737929,9.757535244483433,"P1: [Milling] Check cutter wear, fixture clamping and vibration; add a surface-finish check after milling and review cutting parameters. | P2: Production flow is constrained at Assembly (1191 runs at >=90% utilization). Balance the line or add assembly capacity and limit upstream release to cap work-in-process. | P3: Simulated best lever for this run: A + B combined (profit +947,276, margin +25.5 pts).",,,,,Assembly,0.43837497188939656,1.4427299669939067,0.13101224069208608,1.1617865059494754,0.5935412813591486,0.9187895332259186,0.15516630946975205,1.3572629666032032,0.12028016847901325
2841,BATCH_2841,dataset_small_final\test\rust\rust_02241.png,rust,REJECT,rust,rust,0.9998923996632572,0.9999867195604869,0.9998161649116551,0.000737289884922192,0.9999056788501438,False,Defect probability at or above the auto-reject threshold.,1.0,Storage,High,ATTRIBUTED,Defect-specific prior combined with production-zone stress.,"Storage: storage dwell/WIP deviation=+0.04 SD, combined stress=0.04; note: the strongest raw process deviation is in Assembly (1.09), but this defect type points mainly to Storage",,Assembly,3.2446808510638294,129.0,315422.0,35.75341611738635,87.5,15006.75,5836.0171127473,20942.130250036367,35.92678199850779,"P1: [Storage] Reduce dwell time between stages (FIFO, smaller buffers), and protect parts with humidity control or anti-corrosion packaging. | P2: Production flow is constrained at Assembly (1191 runs at >=90% utilization). Balance the line or add assembly capacity and limit upstream release to cap work-in-process. | P3: Simulated best lever for this run: A + B combined (profit +20,942, margin +1.5 pts).",,,,,Assembly,0.3299925573143452,0.9886545774276067,0.09210482601932976,0.9108250711838761,0.170416427621897,1.0894399148347673,0.20374309452221404,0.037577717037859004,0.5337356518365592
2999,BATCH_2999,dataset_small_final\test\scratch\scratch_01823.png,scratch,REJECT,scratch,scratch,0.9999951700955932,0.9999990882855669,0.9999934003651165,4.376126934740097e-05,0.9999960818064539,False,Defect probability at or above the auto-reject threshold.,1.0,Milling,High,ATTRIBUTED,Defect-specific prior combined with production-zone stress.,"Milling: utilization deviation=+1.14 SD, waiting-time deviation=-0.22 SD, combined stress=0.68; note: the strongest raw process deviation is in Drilling (1.52), but this defect type points mainly to Milling",,Assembly,28.71967151922359,8112.0,320702.6000000001,13.681653081823903,62.50000000000001,26495.699999999953,831946.6911793544,867846.1034738801,11.87781716500672,"P1: [Milling] Check cutter wear, fixture clamping and vibration; add a surface-finish check after milling and review cutting parameters. | P2: Production flow is constrained at Assembly (1191 runs at >=90% utilization). Balance the line or add assembly capacity and limit upstream release to cap work-in-process. | P3: Simulated best lever for this run: A + B combined (profit +867,846, margin +23.4 pts).",,,,,Assembly,0.271213385677741,1.521699459738306,0.1814394492083893,0.6800813725791772,0.4692160704485595,0.9159108843628141,0.19800268477081848,1.3403183005596566,0.15134179557223276
